id,ref,nombre,marca,categoria,disponible,url,imagen1,imagen2,imagen3,imagen4,fecha_sync
856904434,240093466,Control Remoto Aire Acondicionado Electrolux,Electrolux,Aire acondicionado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/191942-800-800/240093466.png,,,,2026-09-24T08:06:32Z
856902321,240072863,Entrada Manga Tubo Aire Acondicionado Portátil Electrolux EAP10,Electrolux,Aire acondicionado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/190902-800-800/240072863--3-.png,,,,2026-09-24T08:06:32Z
856904436,240093488,Filtro Aire Acondicionado Electrolux 18.000 BTU,Electrolux,Aire acondicionado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/191946-800-800/240093488.jpg,,,,2026-09-24T08:06:32Z
856904435,240093454,Filtro Aire Acondicionado Electrolux 9000 BTU,Electrolux,Aire acondicionado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/191945-800-800/240093454.png,,,,2026-09-24T08:06:32Z
856904437,240093469,Filtro Ambientador Aire Acondicionado Inverter Electrolux,Electrolux,Aire acondicionado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/191947-800-800/240093469--1-.png,,,,2026-09-24T08:06:32Z
856902088,240091585,Filtro Carbón Activo Purificador Aire Electrolux Well A7,Electrolux,Aire acondicionado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/199709-800-800/240091585.png,,,,2026-09-24T08:06:32Z
control-240091584,240091584,Filtro HEPA Purificador Aire Electrolux Well A7,Electrolux,Aire acondicionado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/198967/240091584.png?v=639207717329500000,,,,2026-09-24T08:06:32Z
856901310,240072865,Manga Tubo Aire Acondicionado Portátil Electrolux EAP10B5TBPW/12B5TSCRW,Electrolux,Aire acondicionado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/190893-800-800/32_240072865_01_2000px.jpg,,,,2026-09-24T08:06:32Z
856902322,240072864,Salida Manga Tubo Aire Acondicionado Portátil Electrolux EAP10B5TBPW/12B5TSCRW,Electrolux,Aire acondicionado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/192461-800-800/240072864 -1-.png,,,,2026-09-24T08:06:32Z
856904332,A07668801,Soporte Aire Acondicionado Electrolux 18.000 a 30.000 BTU,Electrolux,Aire acondicionado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/189331-800-800/A07668801_2.png,,,,2026-09-24T08:06:32Z
856900206,S135000691,Barre Alfombra Con Ruedas Apiradora 32 mm,Electrolux,Aspirado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/189522-800-800/4_S135000691_01_2000px.jpg,,,,2026-09-24T08:06:32Z
856901670,240085419,Baterías Aspiradora Robot Electrolux Pure I9,Electrolux,Aspirado,SI,,https://electroluxcl.vteximg.com.br/arquivos/ids/189511-800-800/240085419_01_2000px.jpg,,,,2026-09-24T08:06:32Z
